Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 All,-0.093661809,0.035811501,0.910590664,0.848867347,0.976802,-0.908761289,0.283452562,0.913130814,0.86378375,0.965297,0.007676888,0.004411721,1.103254189,0.987659684,1.232378,0.002444848,0.004406524,1.016018454,0.960551574,1.074688
Age 0-10 Female,-0.107315707,0.040924625,0.898242047,0.829005929,0.973261,-0.919617069,0.322970066,0.912140078,0.856189251,0.971747,0.007924912,0.004998768,1.106762264,0.976314786,1.254639,0.002399366,0.005029831,1.015718129,0.952672422,1.082936
Age 0-10 Male,-0.08435303,0.03879332,0.919106727,0.851813275,0.991716,-0.893826787,0.307720534,0.914495549,0.860969755,0.971349,0.007305917,0.004812288,1.098027884,0.973152046,1.238928,0.002302247,0.004778706,1.015077136,0.955122085,1.078796
Age 11-60 All,-0.0389686,0.02364165,0.961780909,0.918231048,1.007396,-0.2315295,0.1836734,0.977113023,0.942562606,1.012930,0.009896371,0.002763782,1.13504642,1.059011352,1.216541,0.001349831,0.002826059,1.008812505,0.973137306,1.045796
Age 11-60 Female,-0.00570288,0.02644144,0.994313351,0.944095359,1.047203,-0.09681524,0.20429668,0.990365191,0.951492311,1.030826,0.008181531,0.003090534,1.110403649,1.027561254,1.199925,0.004124478,0.003154731,1.027171704,0.986706977,1.069296
Age 11-60 Male,-0.079505658,0.028138062,0.923572794,0.874016295,0.975939,-0.39739007,0.21995444,0.961040231,0.920489139,1.003378,0.011975352,0.003296172,1.165656568,1.073141301,1.266148,-0.002088047,0.003371503,0.986519383,0.945042618,1.029817
Age 60+All,-0.136041344,0.034927488,0.872806546,0.815055377,0.934650,-0.737502677,0.266750982,0.928903642,0.881585348,0.978762,0.01860836,0.003868869,1.268946474,1.151568381,1.398289,-0.01764003,0.004023902,0.891669086,0.847110014,0.938572
Age 60+ Female,-0.132343435,0.039351282,0.876040081,0.81101239,0.946282,-0.828180088,0.300017506,0.920518658,0.867949765,0.976271,0.017089641,0.004309863,1.244516878,1.116972122,1.386626,-0.014651314,0.004520317,0.909160583,0.858282157,0.963055
Age 60+ Male,-0.1395888,0.04243022,0.869715789,0.800313277,0.945137,-0.59326251,0.32506878,0.94239926,0.88422853,1.004397,0.02156864,0.00479759,1.31795144,1.168495068,1.486524,-0.02180336,0.004920979,0.867862628,0.815123933,0.924014
All: LAG 5,-0.08235469,0.023070827,0.920945251,0.880228707,0.963545,-0.655200874,0.18149576,0.936580233,0.903848739,0.970497,0.01190436,0.002700046,1.164597819,1.088321993,1.246219,-0.001569723,0.002745747,0.989848677,0.955821579,1.025087
Female,-0.05521607,0.02529033,0.946280663,0.900518008,0.994369,-0.48438817,0.19619747,0.952715628,0.916774708,0.990066,0.009604485,0.002945557,1.130813639,1.050261598,1.217544,0.000836008,0.002987543,1.005448843,0.967899281,1.044455
Male,-0.1121551,0.02642008,0.893905602,0.848794258,0.941415,-0.8535488,0.2109284,0.918186381,0.881000711,0.956942,0.01454679,0.003113571,1.204661858,1.11414316,1.302535,-0.004269727,0.003167054,0.972628357,0.934165657,1.012675
Warm All,0.02817869,0.02146834,1.028579465,0.986196892,1.072783,0.9894361,0.2409094,1.104004043,1.053086491,1.157383,-0.00144135,0.002386872,0.981719866,0.924658199,1.042303,0.004422526,0.003170299,1.029163585,0.988424329,1.071582
Warm Female,0.04744648,0.02718793,1.048590079,0.994175168,1.105983,0.92775528,0.306219943,1.097215413,1.033298817,1.165086,1.04E-05,0.00299651,1.000133439,0.927703582,1.078218,0.007591595,0.004025411,1.050583125,0.998063509,1.105866
Warm Male,0.009908258,0.027447387,1.009957507,0.957060548,1.065778,1.061327596,0.307335827,1.111969491,1.046964408,1.181011,-0.002772718,0.003078151,0.965131623,0.893404849,1.042617,0.001366365,0.004044163,1.008920929,0.958255089,1.062266
Cold All,-0.113845,0.02358417,0.892396267,0.852084164,0.934616,-0.8955215,0.1734881,0.914340581,0.88377231,0.945966,0.0176469,0.002797681,1.253425646,1.168466376,1.344562,-0.003104607,0.002671345,0.980022307,0.947230438,1.013949
Cold Female,-0.082991553,0.024877562,0.920358921,0.876558728,0.966348,-0.671498663,0.180338441,0.935055058,0.902581579,0.968697,0.01363293,0.002938549,1.190652533,1.106032388,1.281747,-0.000669771,0.002795791,0.995655951,0.960816448,1.031759
Cold Male,-0.149332,0.02618919,0.861283121,0.818188268,0.906648,-1.166145,0.1957671,0.889928194,0.856428151,0.924739,0.02236241,0.003130136,1.331410422,1.230856165,1.440179,-0.005966918,0.002990539,0.96195754,0.925996861,0.999315
Age 0-10 All,-0.1816417,0.03624889,0.833900073,0.776708994,0.895302,-1.572913,0.2916532,0.85445512,0.806980861,0.904722,0.009278159,0.004456409,1.126100112,1.00698231,1.259309,-0.003082339,0.004422473,0.980164167,0.926466391,1.036974
Age 0-10 Female,-0.1619647,0.04138697,0.850471226,0.784206296,0.922335,-1.48536,0.3286732,0.861968976,0.80819174,0.919325,0.001990332,0.005071678,1.025803543,0.903244491,1.164992,0.003168061,0.004968323,1.020805883,0.958194937,1.087508
